,"Aegithalos caudatus","Alauda arvensis","Anthus trivialis","Certhia familiaris","Columba palumbus","Corvus corax","Cuculus canorus","Dryocopus martius","Erithacus rubecula","Ficedula albicollis","Ficedula parva","Fringilla coelebs","Loxia curvirostra","Parus ater","Parus cristatus","Parus major","Parus montanus","Phoenicurus phoenicurus","Phylloscopus collybita","Phylloscopus sibilatrix","Phylloscopus trochilus","Prunella modularis","Pyrrhula pyrrhula","Regulus regulus","Regulus ignicapillus","Sitta europaea","Sylvia atricapilla","Troglodytes troglodytes","Turdus merula","Turdus philomelos","Turdus viscivorus","Turdus torquatus","Carduelis spinus","Regulus spp.","Parus palustris","Motacilla cinerea","Oriolus oriolus",,,"Altitude","Forest Cover","Forest Density","Broadleaf Trees","E2 Layer","E2 Confiers","E1 Layer","E1Height","Slope","Rocks","Exposition"
"R14     ",,,,,,,0.5,,1.5,,,1,,0.5,,,,1,1,,1.8,1,0.3,,,,1.5,0.5,0.5,0.5,,1,,,,,,,"R14     ",1180,0,0,0,3,1,8,3,7,"no","cold"
"R15     ",,,1,,,0.3,0.5,,1,,,2.5,,1.5,,,,,0.5,,1,0.5,0.3,,,0.3,,,1.5,,,0.5,,,,,,,"R15     ",1275,3,2,2,3,2,8,1,5,"yes","warm"
"R16     ",,,0.5,,,,0.5,,0.5,,,2.5,,1,,,,,0.5,,1,2,0.5,0.5,,,0.5,,0.5,,,1.3,,,,,,,"R16     ",1315,2,2,0,0,0,9,1,5,"yes","warm"
"R17     ",,,0.5,0.5,,,1,,2,,,3.5,,0.8,,,,0.5,0.5,,,1.5,0.5,,,,,0.5,,0.5,,1.3,0.3,0.3,,,,,"R17     ",1275,4,2,2,2,2,8,2,6,"no","cold"
"R18     ",,1,2,,,0.3,1,,1,,,1.8,,0.5,,,,,0.5,,,2,,0.5,,,,,0.5,,,1.5,,,,,,,"R18     ",1330,2,2,1,1,3,6,2,7,"no","cold"
"R19     ",,,,,,,,,0.5,,,3,,0.3,,,,,,,,0.5,0.5,0.5,,,1,0.5,,,,,0.5,,,0.5,,,"R19     ",860,2,2,1,1,3,8,2,5,"no","cold"
"R20     ",,,1.5,,,0.5,1,,2,,,3.8,,,,0.5,,,1,,0.5,1,0.8,,,,1,0.5,0.5,,,2,,,,,,,"R20     ",1285,3,2,2,1,2,7,2,6,"no","warm"
"R21     ",,0.5,1.5,,0.5,,1,,0.5,,,2.5,0.5,0.5,,,0.8,,1,,0.5,0.5,1.5,,,,0.5,,0.5,,,1,,,,,,,"R21     ",1330,1,1,1,1,4,8,1,6,"yes","warm"
"R27     ",,,,,,,,,1,,,1.8,,0.5,0.5,,,,,,,1,,,1,,1.5,0.5,0.8,,,,0.5,,,,,,"R27     ",885,4,2,1,2,3,7,3,6,"no","cold"
"R28     ",,,,,,,0.5,,1,,,2.5,,1,,,0.5,,0.5,1,,0.5,1,0.5,,,,,0.5,,,0.5,,,,,,,"R28     ",1025,4,2,2,0,0,4,1,5,"no","cold"
"R29     ",,,,,0.5,0.3,1,,1.5,,,4,,0.8,,,0.5,,1.5,0.8,,1,,,,,1,,0.8,,,,,,,,0.3,,"R29     ",1095,4,2,3,0,0,8,1,6,"no","cold"
"R30     ",,,1,,,,1.5,,1.5,,,2.5,,1.3,,,,,,,0.5,1,0.5,0.5,,,,0.5,1.5,1,,2,,0.3,,,,,"R30     ",1155,2,2,2,1,2,6,2,4,"no","cold"
"R31     ",,,0.3,,,,1,,1,,,3.5,,1.8,,,,,1,,,1.5,1,1,,,1,,1.5,,,1,,,,,,,"R31     ",1190,3,2,2,2,2,5,2,7,"no","cold"
"R32     ",,0.5,2.3,,,,1,,0.3,,,2.5,0.3,1.5,,,,0.5,0.5,,1,1,1.5,,,,0.5,,1.5,0.3,,1,0.3,,,,,,"R32     ",1295,2,2,0,2,4,6,2,6,"no","cold"
"R37     ",,,,,,,0.5,,1,,,2.3,,0.5,,,,,0.5,1.5,,1,,,,,1.5,,1,,,,,,,,,,"R37     ",930,4,2,4,1,0,6,2,8,"no","cold"
"R38     ",0.3,,,,,,0.5,,1.5,,,3,,0.8,,,,,1,0.5,0.5,1,,0.5,,,1.5,,0.3,,,0.5,0.3,,,,,,"R38     ",1000,3,2,4,1,0,9,4,7,"no","cold"
"R39     ",,,,,,0.3,0.5,,1.5,,,3,,0.8,,,0.5,,1.5,0.5,,1,1,0.8,,,1.5,,0.8,0.5,,,,0.3,,,,,"R39     ",1090,4,1,2,3,4,9,3,5,"no","cold"
"R40     ",,,0.5,,0.5,,1,,1.5,,,2.8,,2,,,,,,,0.5,0.5,,0.5,0.5,,1.5,0.5,0.5,0.5,,,0.3,0.3,,,,,"R40     ",1180,2,2,2,2,2,4,1,3,"no","cold"
"R41     ",,,0.5,,,,,,1.5,1,,2.8,,0.5,,0.5,,0.5,1,,0.5,0.5,,,,,0.5,0.5,1,,,,,,,,,,"R41     ",1175,3,2,4,3,0,8,2,4,"no","warm"
"R42     ",,,0.5,0.5,,,,,0.5,1,,4.3,,0.8,,0.5,,,0.5,1,,,0.3,1,,0.5,0.5,1,0.5,,,,,,,,,,"R42     ",1170,4,2,4,2,0,8,2,8,"no","warm"
"R43     ",,,0.5,,,,,,1,1.3,,2.8,,,,1.3,,1,0.5,1,0.5,0.5,,,,0.5,1,,,,,,,,,,,,"R43     ",1190,4,2,4,3,0,9,2,9,"no","warm"
"R46     ",,,,,,,,,0.5,0.5,0.5,3.5,,0.5,,,,,0.5,0.8,,,,,,,1,,0.5,,,,,,,,,,"R46     ",910,4,2,4,0,0,7,2,8,"no","cold"
"R47     ",,,,,,0.3,0.5,,1,,0.5,2.5,,1,,,,,,0.3,,0.5,0.8,,,,1,,,,,0.5,,,,,,,"R47     ",1050,4,3,2,0,0,8,2,4,"no","cold"
"R48     ",,,,,0.5,,,,1.5,,,3,,1.3,,,,,1,,0.5,0.5,0.8,,,,1,0.5,0.5,0.5,,,,,,,0.5,,"R48     ",1035,4,1,3,3,2,9,3,4,"no","warm"
"R49     ",,,,,0.3,,0.5,,2,,,0.5,,,,,,,1,,1,1,,,,,2,0.5,0.3,,0.3,,,,,,,,"R49     ",1010,2,1,4,3,0,9,3,9,"no","warm"
"R50     ",,,,,,,,,0.5,1.5,,1.8,,0.3,,,,,,0.5,,1.5,,,,0.5,1.5,1.5,,,,,,,,,,,"R50     ",1135,4,2,4,3,0,9,3,9,"no","cold"
"R51     ",,,,,,,,,1,,,2.8,,0.5,,,,,,0.5,,,,,,0.5,0.5,1,,,,,,,,,,,"R51     ",1190,4,2,4,1,0,9,3,9,"no","warm"
"R54     ",,,,,,,,,1,,0.5,2.8,,0.5,,,0.3,,,1,0.5,,,,,,0.5,0.5,1.3,,,,,,,0.3,,,"R54     ",910,4,2,4,0,0,6,2,9,"no","warm"
"R55     ",0.3,,,,,,0.5,,1,,,2,,1.5,,0.5,,,0.5,0.5,,,,,,,,,0.5,,,,,,,,0.3,,"R55     ",1050,4,2,3,0,0,9,2,7,"no","warm"
"R56     ",,,1,,,,,,2,,,1.5,,1,,,,,1.5,0.5,1,1,,0.5,,,1,0.5,0.5,,,,,,,,,,"R56     ",1045,1,2,4,3,1,9,2,8,"no","warm"
