"AC001A","AC013A","AC013E","AM011A","AM012A","AS001A","AU002A","AU003B","CC001A","CC002A","CC9997","CM004A","CO001A","CY002A","CY003A","CY009A","CY011A","FR001A","FR002A","FR002C","FR006A","FR006E","FR009B","FR018A","FR019A","GO013A","NA004A","NA007A","NA022A","NA042A","NA114A","NI009A","NI014A","NI015A","NI083A","NI196A","NI9969","NI9971","OP001A","ST001A","ST002A","ST010A","SU016A","SY002A","SY003A","SY003C","SY010A","UN9992","pH","Conductivity","Alkalinity","TP","SiO2","NO3","Na","K","Mg","Ca","Cl","SO4","Chla","Secchi","Maxdepth"
65,0,0.35,0,0,0,0.71,0,0.18,0,9.73,3.19,0,0.35,16.11,29.56,0,6.02,0.35,0.71,0.35,0,0,0,0,0.18,0,0,0.35,0,0,0.35,0.53,0,0,0,0,0,0,0,3.54,14.87,2.48,0,0,1.06,0,0,0,7.61154,2.5833,0.166635,2.81043,1.20161,0.11625,3.27852,2.25888,2.6026,3.28437,3.16658,3.06436,2.36788,0.447214,1.30384
69,1.7,5.59,0,0,0.85,0,0,0,0,3.22,3.05,0,1.02,12.37,1.86,0,0.85,0,0,0,0,0,0.68,0,0.17,0,0,3.73,0,2.37,4.75,1.19,0.34,0,0,0.34,0,0,0,2.88,12.88,11.02,0,0,6.78,0,0,0,7.30615,2.54718,0.349053,2.2387,1.07952,-0.107905,3.05795,1.91116,2.59162,3.35583,3.07408,2.59715,2.0289,1.22474,1.76068
73,2.19,3.03,0.84,1.35,0,0,0,0,0,6.9,0,0,1.51,7.41,2.02,0,0,0,0,0,0,0,3.7,0,0,1.01,1.85,7.24,0,5.39,7.91,3.37,0,1.51,0,3.87,0,0,0,0.17,2.53,8.92,0,0,2.19,0,0,0,7.15,2.49743,0.0450219,2.42396,1.16779,-0.0927541,2.96743,2.10295,2.65825,3.20514,3.0249,2.93889,1.54357,0.707107,1
74,0.55,14.99,0,0.37,0,1.46,5.48,10.42,0,0.73,0,0,5.48,24.68,0.18,0,0.37,0,0,0.18,0,0,0,0,0.18,1.1,0.55,0.73,0.37,0,0,0.55,0,0,0,0,0,0,0,0,0,2.74,0,0.73,3.29,0,0.18,6.76,6.93308,2.42971,-0.364207,1.96673,1.32566,0.350248,2.99167,1.91116,2.56908,3.0407,3.08422,2.81006,1.38525,0.591608,1.48324
76,0,4.42,0,0.49,2.13,0,0,0,0,1.15,9.82,0,2.29,55.65,0.16,0,0,0,0.16,0,0,0,0.65,0,0.33,0.49,0.16,0.16,0,0,0.16,0,0.16,0.49,0,0,0,0,0,0.98,0.49,1.15,0,0,0.33,0,0,0,7.89615,2.74833,0.558062,2.01892,1.25902,0.316777,2.84042,1.86776,2.44209,3.59406,2.93588,2.80737,2.20238,0.447214,1.04881
79,0.2,14.76,0,2.36,7.87,0,0,0,0,0,0,3.15,1.77,3.94,0.2,0,0.2,0,0,1.38,0.79,0,0,0,1.58,0.59,1.58,0,0,0,0,0.98,0.98,5.71,0,1.38,0,0,0,0,0,2.16,0,0,0.2,0,0.39,0,7.89923,3.12291,0.569284,1.56752,0.803352,0.128846,3.90023,2.59797,3.07207,3.56018,3.93068,3.21431,1.08099,0.774597,1.54919
82,0,4,0,0.18,0.55,0,0,0,0.36,0,0,0,0,0,0,0,0,2,0.91,4.73,1.82,0,0,11.09,0,0,0.36,3.27,3.64,0,0,7.64,0.18,4.36,0,3.27,0,5.45,0,0,0,0,12.18,0,0,0,0,0,7.99231,2.62119,0.434077,2.33047,1.46811,0.0259357,2.76418,2.2266,2.49311,3.59279,2.9594,2.87636,1.49817,1.18322,1.30384
83,0.56,5.2,0,0,0,0,0.74,0,0,0,0,0,1.67,0.74,0,0,0,2.41,1.48,23.01,2.97,14.1,0,18.74,0,0.19,0.93,0.19,0,1.11,0.19,0,0,0.37,0,0,0,0,0,0,0,0,0.19,0,0.19,0,0.19,0,7.60385,2.66517,-0.0666685,1.62831,0.407195,-0.100264,3.16502,2.34143,2.8341,3.33087,3.25822,3.20911,0.856729,0.707107,0.894427
85,0.89,17.83,0,0.36,0,9.45,0,0,0,0.18,0,0,0.18,0,0.18,0,0.36,0,0,0.18,0.36,0,0,0,0,2.5,0.89,1.07,1.07,0.36,0,0.36,0,0,0,0.36,0,0,0,0,0,0.18,0,4.64,0,8.02,5.53,0,6.83462,2.84198,0.09691,2.01264,1.28625,0.00266438,3.46512,2.20683,3.086,3.34606,3.57089,3.28171,1.75997,0.632456,1.76068
86,0.95,5.39,0,0.63,4.28,0,0,0,0,0,0,0.47,1.27,3.64,0.47,0,0,10.78,0,12.84,0,0,0,17.43,0,0.47,0.95,0,0,0.32,0.47,2.69,0.63,0.47,0,0,13.79,0,0,0,0,0,0,0,0.32,0,0,0,7.85538,3.10749,0.853885,2.06663,1.458,-0.0674482,3.68142,2.79484,3.6218,3.45686,3.56176,3.65287,2.00415,0.948683,1.34164
98,0.2,0.98,0,0.59,2.15,17.42,0,0,0,6.85,10.76,0,0.39,11.35,0.78,0,0,0.78,0,1.37,0.98,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2.15,9,16.83,0,0,4.11,1.57,0,0,8.13846,2.79117,0.548814,2.50408,1.41731,0.619896,3.06586,2.11227,2.64321,3.71498,3.13537,3.24619,2.70326,0.316228,1.58114
100,0.35,0.35,0,5.1,3.69,0,0,0,0,15.99,3.69,0,0,35.15,0,0,0,0.7,2.99,0,0,0,0,0,0.35,0,0.53,0,0,0,0,0,0,0.18,0,0,0,0,0,4.74,6.33,0,0,0,0.88,0,0,0,7.89769,2.76521,0.669388,2.46775,1.30235,0.327123,3.10149,2.30103,2.76305,3.74809,3.17326,3.31623,2.49237,0.447214,0.894427
101,0,26.62,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,0,0,0,35.03,0,0,0,1.93,0,1.4,0,1.93,1.23,0,0.35,1.4,0,0,0,0.17,0,0,0,0,0,0,0.35,0,1.05,1.4,0,0,7.05,2.56921,-0.171935,1.47183,0.615464,-0.162606,2.8914,1.93952,2.78104,3.68467,2.99333,3.06595,0.868056,0.894427,1
105,0.34,24.74,16.21,0.51,0,0,0,0,0,0,0,4.44,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,2.22,0.34,0,0,4.61,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26769,2.52203,0.300361,1.65807,0.836811,0.364767,2.57978,1.716,2.42406,3.51338,2.71496,2.92064,0.951338,1.26491,1.22474
107,0,0,0,0.88,4.2,0,0,0,42.03,3.68,4.38,0,0.17,11.56,0,0,0,0,0,0,0.17,0,0,0,0.7,0,1.05,0,0.35,0.17,0.17,1.23,0.7,1.4,0,0,0,0,0,5.25,1.23,5.6,0,0,0.17,0,0,0,7.955,2.7531,0.521922,2.14522,1.38548,0.370328,2.67417,1.99012,2.92169,3.43866,2.62737,3.45977,2.05169,0.447214,1.22474
108,0.97,5.97,0,0.48,5,0,0,0,0,0,0,0,0.16,0,0,0,0,45.81,0,8.23,16.13,0,0,0,4.84,0.48,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,7.22154,2.71663,0.654917,1.80328,1.63359,0.663628,2.5977,1.6721,2.69854,3.59204,2.61066,2.87953,0.969882,0.707107,0.447214
112,0.34,2.35,0,0,2.35,0,0,0,0,0,0,0,0,0.17,0,0,0,20.64,8.89,19.13,37.75,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,7.67769,2.93853,0.439333,2.17639,0.720795,0.0205525,3.26635,2.13194,3.00934,3.86521,3.2637,3.74689,1.92179,1.04881,0.894427
113,0.15,0.61,0,0,1.37,23.02,0,0,0,0,0,0,0,8.08,0.15,13.26,0,0,0,1.07,1.52,0,0,2.59,0,0,0,0.15,0,0,0.31,0,0.31,0.61,0,0,0,0,0,0,0,35.21,0,0,1.22,1.07,0,0,7.91538,2.70197,0.289177,2.06096,0.726476,-0.155379,2.9035,2.19243,2.64909,3.63266,3.0589,3.38341,0.850646,1.54919,3.4641
114,0,13.74,0,0.55,0.92,0,0,0,0,0,0,33.33,1.83,0,0,0,0,0.18,0,0,0,0,0,0.18,0,0.37,0,1.1,0.18,1.65,0,0.92,0,0.73,0.18,5.68,0,0,0,0,0,0,0,0,0.92,0,0,0,7.93231,2.60816,0.253226,1.40588,0.348455,0.265181,2.70863,1.4843,2.83648,3.54208,2.82086,3.22226,1.0667,1.58114,1.48324
120,0.93,1.12,0,0,1.68,0.19,0,2.23,14.34,2.05,33.52,0.19,0,0,0.19,0.19,0,0.75,0,1.3,0.56,0,0,0,0.37,0,0,0,0,0,0,0.56,0.56,0.37,0,0,0,0,0,5.96,5.4,13.22,0,0,2.05,2.42,0,0,8.59077,2.7224,0.62309,2.67718,1.54979,-0.0600969,3.01199,2.01389,2.28443,3.65108,2.98125,2.97324,1.80672,0.707107,2
